Item Number – 8 digit,NDC Number,Size Qty,Retail Pack Quantity,AWP Price,Acquisition Price,Retail Price,WAC Price,Contract Flag,Generic Name,Form,Name,Size,%,MCG,M,IU,MEQ,UN,HR,MMOL,BP,CAL,USP,MU,Total_MG,Total_ML,Total_MM
10000009,51672408306,45      ,1,17928,9425,0,14342,C,hydrocortisone butyrate,TOPICA,HYDROCORTISONE BUTYRATE,0.1% O,0.1,,,,,,,,,,,,,,
10083412,00023334807,        ,1,164760,137300,0,137300,N,dexamethasone,INTRAOCULR IMPLA,OZURDEX IMP,1 DS,,,,,,,,,,,,,,,
10000013,00093227234,20      ,1,11751,5038,0,8814,C,amoxicillin/potassium clav,ORA,AMOXICILLIN-CLAV K,400-57 MG C,,,,,,,,,,,,,57.0,,
10083430,51991062033,30      ,1,40038,831,0,900,N,anastrozole,ORAL TABLET 1 MG,ANASTROZOLE,1 MG TAB 30,,,,,,,,,,,,,1.0,,
10083433,67457022005,6X5     ,1,763841,587712,0,636534,N,isosulfan blue,SUBCUT VIAL 1 %,ISOSULFAN BLUE,1% SDV 6X5 ML,1.0,,,,,,,,,,,,,5.0,
10000077,00003161112,30      ,1,164698,130386,0,137248,N,entecavir,ORAL TABLET 0.5 MG,BARACLUDE,0.5 MG TAB 30,,,,,,,,,,,,,0.5,,
10000082,00003161212,30      ,1,164698,130386,0,137248,N,entecavir,ORAL TABLET 1 MG,BARACLUDE,1 MG TAB 30,,,,,,,,,,,,,1.0,,
10083420,00002324090,90      ,1,100980,77696,0,84150,N,duloxetine,HCl ORAL CAPSULE DR,CYMBALTA,30 MG DR CAP 90,,,,,,,,,,,,,30.0,,
10000095,65649050130,28.4    ,1,73516,56565,0,61263,N,hydrocortisone,TOPICAL CREAM (,PROCTOCORT,1 % CRM 28.4 GM,1.0,,,,,,,,,,,,28400.0,,
10000096,00193658621,100     ,1,1195,1096,1644,996,N,lancets,MISCELL EACH,MICROLET LANCET COLOR,100CT,,,,,,,,,,,,,,,
10000103,00555095202,100     ,1,29000,13850,0,15000,N,dextroamphetamine sulfate,ORAL,DEXTROAMPHETAMINE SUL,5 MG TAB,,,,,,,,,,,,,5.0,,
10000134,00338070434,14X1000 ,1,12145,4118,0,10121,C,potassium chloride-0.45%,NaCl,POT CHL,20MEQ NACL 0.45% SOL 1,0.45,,,,20.0,,,,,,,,,,
10000144,61314022710,10      ,1,3235,619,0,1413,C,timolol maleate,OPHTHALMIC DRO,TIMOLOL,0.5% OPH DRP 10 ML,0.5,,,,,,,,,,,,,10.0,
10083463,63323031510,25X10   ,1,291810,224524,0,243175,N,ganciclovir sodium,INTRAVEN VI,GANCICLOVIR,500 MG SDV 25X10 M,,,,,,,,,,,,,500.0,,
10000160,61314022610,10      ,1,2775,1012,0,1095,N,timolol maleate,OPHTHALMIC DRO,TIMOLOL O/S,0.25 % DRP 10 ML,0.25,,,,,,,,,,,,,10.0,
10000163,61314022715,15      ,1,4875,999,0,2050,C,timolol maleate,OPHTHALMIC DRO,TIMOLOL,0.5% OPH DRP 15 ML,0.5,,,,,,,,,,,,,15.0,
10083467,66689071216,500     ,1,31500,5510,0,21000,C,methadone,HCl ORAL SOLUTION 10,METHADONE HCL,10 MG/5 ML SOL 5,,,,,,,,,,,,,10.0,5.0,
10083468,66689071116,500     ,1,15750,3610,0,10500,C,methadone,HCl ORAL SOLUTION 5,METHADONE HCL,5 MG/5 ML SOL 50,,,,,,,,,,,,,5.0,5.0,
10000175,31722050960,60      ,1,36097,1593,0,4500,C,zidovudine,ORAL TABLET 300 MG,ZIDOVUDINE,300 MG TAB 60,,,,,,,,,,,,,300.0,,
10000177,24208043410,10      ,1,4661,3587,0,3884,N,ofloxacin,OPHTHALMIC DROPS 0.3,OFLOXACIN,0.3% OPH DRP 10 ML,0.3,,,,,,,,,,,,,10.0,
